external_track_id,title,artist,album,language,year,decade,tempo,rms_mean,spectral_centroid_mean,seed_query
YiVML4Zo,"Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan","Gehra Hua (From ""Dhurandhar"")",hindi,2025.0,2020s,63.024,0.048799,2600.569,Arijit Singh
1gHtmQ3x,Gehra Hua,"Irshad Kamil, Arijit Singh, Shashwat Sachdev, Armaan Khan",Dhurandhar,hindi,2025.0,2020s,63.024,0.048799,2600.569,Arijit Singh
9rY8kaPt,"Pal Pal Dil Ke Paas (From ""Blackmail"")",Kishore Kumar,Blackmail,hindi,2009.0,2000s,123.047,0.082973,1747.976,Kishore Kumar
L_tHK_WR,"Pal Pal Dil Ke Paas (From ""Blackmail"") (from ""Blackmail"")",Kishore Kumar,Best Of Bollywood,hindi,2026.0,2020s,123.047,0.082948,1739.431,Kishore Kumar
XBsEDHjv,"Pal Pal Dil Ke Paas (From ""Blackmail"")",Kishore Kumar,Best of Kishore Da,hindi,2026.0,2020s,123.047,0.127828,1826.705,Kishore Kumar
yXCLyL-9,"Tum Hi Ho (From ""Aashiqui 2"")","Mithoon, Arijit Singh",World Music Day - Best Of Bollywood Hits,hindi,2026.0,2020s,92.285,0.170126,1260.775,Arijit Singh
aRZbUYD7,Tum Hi Ho,"Mithoon, Arijit Singh",Aashiqui 2,hindi,2013.0,2010s,92.285,0.163765,1353.81,Arijit Singh
Bt07_OpM,"Tum Hi Ho (From ""Aashiqui 2"")","Arijit Singh, Mithoon",Best Of Arijit Singh - Collection Of Romantic Songs,hindi,2025.0,2020s,92.285,0.170503,1343.262,Arijit Singh
-1SyiQS8,Apna Bana Le,"Amitabh Bhattacharya, Sachin-Jigar, Arijit Singh",Hot Hits Bollywood,hindi,2026.0,2020s,92.285,0.120289,1238.293,Arijit Singh
HFIok7C3,Apna Bana Le,"Amitabh Bhattacharya, Sachin-Jigar, Arijit Singh",Wedding Love Songs,hindi,2026.0,2020s,92.285,0.120289,1238.293,Arijit Singh
qZtKBMZ_,Apna Bana Le,"Sachin-Jigar, Arijit Singh",Bhediya,hindi,2023.0,2020s,92.285,0.120289,1238.293,Arijit Singh
ZAwUB9Jy,Apna Bana Le,"Amitabh Bhattacharya, Sachin-Jigar, Arijit Singh",Romantic Classics Hits,hindi,2026.0,2020s,92.285,0.120289,1238.293,Arijit Singh
L7I1fpSU,Apna Bana Le,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",Heartbeats Bollywood,hindi,2026.0,2020s,92.285,0.120289,1238.293,Arijit Singh
vmWsEhRI,O Mere Dil Ke Chain,Kishore Kumar,Mere Jeevan Saathi,hindi,1972.0,1970s,112.347,0.092793,1460.489,Kishore Kumar
CNwAsejW,"Mil Jayein Iss Tarah (From ""Yeh Vaada Raha"")","Kishore Kumar, Asha Bhosle, R.D. Burman","Mil Jayein Iss Tarah (From ""Yeh Vaada Raha"")",hindi,2026.0,2020s,143.555,0.128299,2199.866,Kishore Kumar
5ipkh60b,Yeh Vaada Raha (Tu Tu Hai Wahi / From “Yeh Vaada Raha”),"Kishore Kumar, Asha Bhosle, R.D. Burman",Best of Kishore Da,hindi,2026.0,2020s,143.555,0.143526,2235.241,Kishore Kumar
7Niv17mz,Neele Neele Ambar Par (Male Version),"Kalyanji - Anandji, Kishore Kumar",Kalaakaar,hindi,2016.0,2010s,129.199,0.100284,1386.825,Kishore Kumar
